	profile_id_x	other_profile_id_x	score
29	0.0	94.0	0.9242897948335989
140	0.0	9.0	0.8467197339934251
350	0.0	29.0	0.7906838726788827
403	0.0	60.0	0.7779716947179574
957	0.0	36.0	0.7069341288952106
1127	0.0	67.0	0.6923694683620809
1234	0.0	33.0	0.6848564913702444
1281	0.0	89.0	0.6810583106621104
1367	0.0	71.0	0.6743812083254783
1412	0.0	27.0	0.6705717931422877
24	1.0	3.0	0.9299529396072919
300	1.0	61.0	0.8029309147945355
507	1.0	93.0	0.75722121086876
555	1.0	94.0	0.7495449177540023
647	1.0	86.0	0.7392778651324629
755	1.0	80.0	0.7268210164390716
829	1.0	58.0	0.7191766895966777
831	1.0	40.0	0.7189214303974678
866	1.0	14.0	0.7145792610774949
1044	1.0	24.0	0.6988278069049572
251	2.0	70.0	0.8124569336643849
303	2.0	46.0	0.8021770486095725
328	2.0	93.0	0.7964043581623371
377	2.0	79.0	0.7838813390677131
429	2.0	55.0	0.7731090815259926
549	2.0	97.0	0.7502912853858686
552	2.0	26.0	0.7497339171821691
750	2.0	96.0	0.72751438366369
1138	2.0	83.0	0.6910584478343345
1166	2.0	15.0	0.6898734088217972
23	3.0	69.0	0.9326489573126613
25	3.0	1.0	0.9299529396072919
103	3.0	41.0	0.8743999561947972
175	3.0	88.0	0.8374887903690593
223	3.0	18.0	0.8218798998267868
233	3.0	99.0	0.8170179002363467
260	3.0	9.0	0.8088191488522375
309	3.0	79.0	0.8015163490586407
330	3.0	62.0	0.7959111939064172
492	3.0	37.0	0.7599582150574967
64	4.0	75.0	0.8935166344489344
156	4.0	34.0	0.8417363469547725
314	4.0	89.0	0.7989606451946238
458	4.0	48.0	0.7677629457476994
473	4.0	50.0	0.7652254077382643
479	4.0	69.0	0.7647422965664412
617	4.0	91.0	0.7419498411100104
669	4.0	88.0	0.7370529891352245
696	4.0	8.0	0.7346568567481728
777	4.0	22.0	0.7249448712600198
63	5.0	35.0	0.8948031698803783
89	5.0	82.0	0.8830470320338498
97	5.0	27.0	0.8759645284235443
127	5.0	94.0	0.8551360629294091
219	5.0	98.0	0.8222646614577812
238	5.0	18.0	0.8151446651271499
369	5.0	50.0	0.7867716821937663
421	5.0	80.0	0.7748741986915413
422	5.0	78.0	0.7737137904691405
576	5.0	7.0	0.7467194119344875
277	6.0	33.0	0.8066840666014604
293	6.0	31.0	0.8041768018570298
345	6.0	43.0	0.7922164864751209
494	6.0	63.0	0.7599377723242812
652	6.0	91.0	0.7387910814433191
694	6.0	98.0	0.7349401678245501
753	6.0	81.0	0.7269186097365189
1046	6.0	25.0	0.6986917687878423
1216	6.0	37.0	0.6868635237964208
1283	6.0	84.0	0.6806494652527124
144	7.0	25.0	0.8462167914549715
278	7.0	89.0	0.8055697387582739
298	7.0	24.0	0.8037076636592789
364	7.0	64.0	0.7884879359304959
577	7.0	5.0	0.7467194119344875
595	7.0	28.0	0.74357240630692
598	7.0	10.0	0.7434754047672636
627	7.0	61.0	0.7408601308797761
666	7.0	51.0	0.7374508522329707
673	7.0	34.0	0.7368631646569626
16	8.0	47.0	0.9459684517897605
71	8.0	73.0	0.890026010326287
178	8.0	37.0	0.8369194012056577
271	8.0	31.0	0.8073060130638128
358	8.0	50.0	0.7897006750634069
464	8.0	90.0	0.7666295155628333
697	8.0	4.0	0.7346568567481728
769	8.0	65.0	0.7252175278489593
965	8.0	3.0	0.7062118880076177
989	8.0	20.0	0.7042890430737311
141	9.0	0.0	0.8467197339934251
153	9.0	89.0	0.8436270177073831
258	9.0	52.0	0.8094828473949354
261	9.0	3.0	0.8088191488522375
513	9.0	43.0	0.7563775937111823
607	9.0	10.0	0.7423033501681906
661	9.0	76.0	0.7381555957060315
817	9.0	75.0	0.7200742431835627
848	9.0	65.0	0.7175595556340807
972	9.0	34.0	0.7058560743447337
45	10.0	86.0	0.9133765573361862
123	10.0	15.0	0.8598136742299157
163	10.0	48.0	0.8402087602828942
189	10.0	18.0	0.8305579942128397
201	10.0	94.0	0.8284986692958832
205	10.0	62.0	0.8272651018714186
226	10.0	50.0	0.820031915864898
252	10.0	34.0	0.8124516192469473
519	10.0	96.0	0.7558600933578097
543	10.0	3.0	0.7513478892648612
114	11.0	73.0	0.8670154643465097
290	11.0	18.0	0.8045358677129665
404	11.0	45.0	0.7776787024869327
693	11.0	46.0	0.7349440355985549
720	11.0	13.0	0.7312634369184169
823	11.0	88.0	0.7197425946416888
1072	11.0	16.0	0.6969396943006382
1145	11.0	8.0	0.6907233122734836
1295	11.0	32.0	0.6799094234459571
1355	11.0	85.0	0.6751660765670374
11	12.0	76.0	0.9586708577660839
27	12.0	40.0	0.9271647153220987
453	12.0	93.0	0.7685337596242505
637	12.0	48.0	0.740190023431591
741	12.0	98.0	0.7287736351902203
888	12.0	50.0	0.7126288314555763
993	12.0	58.0	0.7041535670137113
1116	12.0	75.0	0.6927978500208621
1135	12.0	35.0	0.6911685759645165
1298	12.0	86.0	0.6797673341902918
52	13.0	17.0	0.9034603486062681
338	13.0	95.0	0.7934130874275629
357	13.0	29.0	0.7899477962299862
360	13.0	42.0	0.7896598998092179
372	13.0	14.0	0.7853555641832032
413	13.0	77.0	0.7760361937489728
